branch,block_no,room_no,bench_no,enrollment_no
CSE,B-15,226,7,2303051050579
CSE,B-15,226,17,2303051050246
CSE,B-15,226,27,2303051051455
CSE,B-15,226,8,2303051050202
CSE,B-15,226,18,2303051051400
CSE,B-15,226,28,2303051050264
CSE,B-15,226,9,2303051050371
CSE,B-15,226,19,2303051051452
CSE,B-15,226,29,2403051057089
CSE,B-15,226,10,2303051050293
CSE,B-15,226,20,2303051050521
CSE,B-15,226,30,2303051050825
CSE,B-15,226,1,2303051051060
CSE,B-15,226,11,2303051050109
CSE,B-15,226,21,2303051050824
CSE,B-15,226,2,2303051050310
CSE,B-15,226,12,2303051050937
CSE,B-15,226,22,2303051050520
CSE,B-15,226,3,2303051050280
CSE,B-15,226,13,2303051050028
CSE,B-15,226,23,2303051051170
CSE,B-15,226,4,2303051050959
CSE,B-15,226,14,2303051050096
CSE,B-15,226,24,2303051050491
CSE,B-15,226,5,2303051050530
CSE,B-15,226,15,2303051050989
CSE,B-15,226,25,2303051051148
CSE,B-15,226,6,2303051050450
CSE,B-15,226,16,2303051051349
CSE,B-15,226,26,2303051051422
CSE,B-15,226,7,2303051051423
CSE,B-15,226,17,2303051051346
CSE,B-15,226,27,2303051050654
CSE,B-15,226,8,2303051050984
CSE,B-15,226,18,2303051051273
CSE,B-15,226,28,2303051050255
CSE,B-15,226,9,2303051050554
CSE,B-15,226,19,2303051051372
CSE,B-15,226,29,2303051050144
CSE,B-15,226,10,2303051050651
CSE,B-15,226,20,2403051057017
CSE,B-15,226,30,2303051050064
CSE,B-17,239,1,2303051050851
CSE,B-17,239,11,2303051050033
CSE,B-17,239,21,2303051050774
CSE,B-17,239,2,2303051050953
CSE,B-17,239,12,2303051051475
CSE,B-17,239,22,2303051050974
CSE,B-17,239,3,2303051051373
CSE,B-17,239,13,2403051057102
CSE,B-17,239,23,2303051050319
CSE,B-17,239,4,2303051050567
CSE,B-17,239,14,2303051050388
CSE,B-17,239,24,2303051050302
CSE,B-17,239,5,2303051051383
CSE,B-17,239,15,2303051050821
CSE,B-17,239,25,2303051051433
CSE,B-17,239,6,2303051050115
CSE,B-17,239,16,2303051051051
CSE,B-17,239,26,2303051050856
CSE,B-17,239,7,2303051050398
CSE,B-17,239,17,2303051050011
CSE,B-17,239,27,2303051050214
CSE,B-17,239,8,2303051050951
CSE,B-17,239,18,2303051051103
CSE,B-17,239,28,2303051050772
CSE,B-17,239,9,2303051050806
CSE,B-17,239,19,2303051051318
CSE,B-17,239,29,2303051051419
CSE,B-17,239,10,2303051050129
CSE,B-17,239,20,2303051050619
CSE,B-17,239,30,2303051051447
CSE,B-17,239,1,2303051050191
CSE,B-17,239,11,2303051050983
CSE,B-17,239,21,2303051050054
CSE,B-17,239,2,2303051050775
CSE,B-17,239,12,2303051051086
CSE,B-17,239,22,2303051051484
CSE,B-17,239,3,2303051051159
CSE,B-17,239,13,2303051050031
CSE,B-17,239,23,2303051050125
CSE,B-17,239,4,2303051050083
CSE,B-17,239,14,2303051051009
CSE,B-17,239,24,2303051051101
CSE,B-17,239,5,2303051050633
CSE,B-17,239,15,2303051050041
CSE,B-17,239,25,2303051051309
CSE,B-17,239,6,2403051057069
CSE,B-17,239,16,2303051050187
CSE,B-17,239,26,2303051050529
CSE,B-17,239,7,2303051051228
CSE,B-17,239,17,2303051051186
CSE,B-17,239,27,2303051050131
CSE,B-17,239,8,2403051057065
CSE,B-17,239,18,2303051050933
CSE,B-17,239,28,2303051050788
CSE,B-17,239,9,2303051050940
CSE,B-17,239,19,2303051050446
CSE,B-17,239,29,2403051057028
CSE,B-17,239,10,2303051050839
CSE,B-17,239,20,2303051050158
CSE,B-17,239,30,2403051057061
